company	count	asset
WELLS FARGO BANK, NATIONAL ASSOCIATION	54543	1930
U.S. BANCORP	12574	445
TD BANK US HOLDING COMPANY	6080	343
SYNCHRONY BANK	13367	90
SUNTRUST BANKS, INC.	6291	204
PNC Bank N.A.	8799	366
OCWEN LOAN SERVICING LLC	24443	7
JPMORGAN CHASE & CO.	43469	2490
HSBC NORTH AMERICA HOLDINGS INC.	7264	277
DISCOVER BANK	6601	92
CITIBANK, N.A.	35432	1792
CHARLES SCHWAB CORPORATION, THE	124	223
CAPITAL ONE FINANCIAL CORPORATION	20780	357
BNY MELLON, NATIONAL ASSOCIATION	195	333
BB&T CORPORATION	3413	219
BARCLAYS BANK DELAWARE	4241	294
BANK OF AMERICA, NATIONAL ASSOCIATION	66811	2187
AMERICAN EXPRESS CENTURION BANK	8523	158
ALLY FINANCIAL INC.	3395	163
